Indian Institute of Technology Palakkad,,,,,,,,
Jan – May 2024,,,,,,,,
Civil Engineering PME & ERC Courses,,,,,,,,
,,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room No,Availability
CE5510,Advanced Concrete Technology,3-0-0-3,,Yes,Athira Gopinath,J,A01-018,S6 & S8/MS/PHD
CE5011,Finite Element Applications,3-0-0-3,Yes,Yes,Gokulnath C,"D, M3",A01-120,S6 & S8/MS/PHD
CE5002,Advanced Mechanics of Structures,3-0-0-3,Yes,Yes,Gokulnath C,I,A01-018,S6 & S8/MS/PHD
CE5003,GIS and Remote Sensing,1-0-3-3,Yes,No,Sarmistha Singh,"D, PA5","A01-213

N Comp lab
CC lab (48)",S6/S8 /MS/Ph.D.
CE5614,Pavement Analysis & Design,3-0-0-3,No,Yes,Veena Venudharan,H,A01-120,S8/MS/PhD
CE5514,Surface Water Hydrology,3-0-0-3,No,Yes,Subhasis Mitra,J,A01-213,S8/MS/PhD
CE5619,Pavement Management Systems,3-0-0-3,No,Yes,Veena Venudharan,"D, M3",A01-018,S8/MS/PhD
CE5626,Underground Structures,3-0-0-3,No,Yes,Ankesh Kumar,I,A01-120,S6/S8/Ph.D./MS
CE5518,Advanced Reinforced Concrete: Analysis and Design,4-0-0-4,No,Yes,Madhu Karthik M,F,A01-120,S6/S8/M.S./Ph.D.
CE5621,Physico- Chemical Water Treatment Processes,3-0-0-3,No,Yes,Praveena G,F,A01-018,M.S./Ph.D.
CE5621,Biological Process Design for Wastewater Treatment,3-0-0-3,No,Yes,Praveena G,H,A01-018,M.S./Ph.D.
CE 5604,Geosynthetics and Reinforced Soil Structures,3-0-0-3,No,Yes,Divya P. V.,J,A01-120,S6/S8/MS/PhD
CE5006,Foundation Engineering,3-1-0-4,No,Yes,Sudheesh T. K.,"K,E1",A01-120,S8/MS/PhD
CE5002,Applied soil mechanics,3-1-0-4,No,Yes,Rakesh J. Pillai,"B,E4",A01-120,S8/MS/PhD
CE5615,Finite ELement Methods in Geotechnical Engineering,3-0-0-3,No,Yes,"Gokulnath C
Rakesh J PIllai","D, M3",A01-120,MS/PhD
