Indian Institute of Technology Palakkad,,,,,,,,
Jan – May 2024,,,,,,,,
Electrical Engineering PME & ERC Courses,,,,,,,,
,,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room No,Availability
EE5518,Nanoelectronic Devices,3-0-0-3,No,Yes,Revathy Padmanabhan,H,A01-103,"BTech(EE) S2/S4/S6/S8, MTech(SoCD) S2/S4, MS, PhD, as long as they meet the prerequisite"
EE5606,Micro and Nanoscale Devices Laboratory,0-0-3-2,No,Yes,Revathy Padmanabhan,"E*
(for registration)

(contact instructor for further details on elective lab timings) ","Nila
CIF-CMFF","BTech(EE) S2/S4/S6/S8, MTech(SoCD) S2/S4, MS, PhD, as long as they meet the prerequisite"
EE5516,VLSI Architectures for signal processing and machine learning,2-0-2-3,No,Yes,Subrahmanyam Mula,"D
+
PA3","A01-119 + 
N Electronics Lab","BTech(EE) S6/S8, MTech(SoCD) S2/S4, MS, PhD, as long as they meet the prerequisite"
EE5519,Wireless Communication,3-0-0-3,No,Yes,Jobin Francis,"
K","
A01-103",BTech EE S6/S8 and MS/Ph.D.
EE5525,Sensors and Signal Conditioning Circuits,3-0-0-3,No,Yes,Sreenath Vijayakumar,K,A01-119,"BTech EE S6/S8, MTech(PEPS and SoCD) and MS/Ph.D."
EE5003,RF and Microwave Passive Circuits,3-0-0-3,Yes,Yes,Sukomal Dey,L,A01-119,"BTech(EE) S4/S6/S8, MTech(SoCD) S2/S4, MS, PhD"
EE5605,Error-Correcting Codes for Communications and Distributed Systems,3-0-0-3,No,Yes,Nikhil Krishnan M,F,A01-001,"S6/S8 BTech (EE/CS/DS), MTech (DS/CAM), MS (EE/CS/DS), PhD (EE/CS/DS)"
EE5514,Renewable Energy Systems,3-0-03,No,Yes,Naga Brahmendra,B,A01-214,"S8 (UGEE), MS/PhD (EE)"
EE5521,Optimal control,3-0-0-3,No,Yes,Shaikshavali Chitraganti,I,"A01-214
or C06-1",MS/PhD
,,,,,,,,
"*EE5606 is an elective lab course. It is slotted in E for registration purposes. 
Students may please contact the course instructor for further details about the lab timings",,,,,,,,
