Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"MSc Chemistry Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
CY5002 ,Chemistry of Materials,3-0-0-3,No,Yes,Yugender Goud Kotagiri,F,N 303
CY5004 ,Molecular Dynamics and Basic Statistical Thermodynamics,3-0-0-3,No,No,Debarati Chatterjee,K ,N 303
CY5006,Elucidation of Molecular Structure ,3-0-0-3,No,Yes,Yuvaraj K,A,N 303
CY5008 ,Reaction Mechanisms,3-0-0-3,No,Yes,Mintu Porel,G,N 303
CY5102 ,"Synthesis, Energetics and Dynamics Lab 2 ","0-0-2-2
(chk)",No,No,Supratik Sen Majumdar,PA5,A01-CY Lab
CY5104 ,"Synthesis, Energetics and Dynamics Lab 3","0-0-2-2
(chk)",No,No,Sushabhan Sadhukhan,PM3,A01-CY Lab
,,,,,,,
"MSc Chemistry Other Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
GN6001,Research Methodology and Professional Ethics,2-0-0-0,-,-,,EML,
