Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"MSc Mathematics Core Courses, Semester IV",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room
MA5120,Project Level 2,6-0-0-6,No,,Arpan Kabiraj,N/A,
,,,,,,,
,,,,,,,
"MSc Mathematics Other Courses, Semester IV",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room
GN6001,Research methodology and professional ethics,2-0-0-0,,,Dr. Rahul (coordinator),EML,A01-002
,Elective IV **,See Elective Course Page,,,,,
,Elective V,,,,,,
,Elective VI/Project Level 2,,,,,,
,Elective VII/Project Level 2,,,,,,
,,,,,,,
,,,,,,,
** A student is allowed to take a maximum of one course in the open elective (OE) category in place of PSE.,,,,,,,
