Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"M.Tech. in Computing and Mathematics Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
CS5016,Computational Methods and Applications,2-0-3-4,No,Yes,Albert Sunny,PA4+E4,"N Comp Lab
CS Lab (70)"
CS5010,Graph Theory and Combinatorics ,3-0-0-3,Yes,Yes,Srimanta Bhattacharya,I,A01-102
CS5014,Foundations of Data Science and Machine Learning,3-0-0-3,No,Yes,Deepak Rajendraprasad,F,A01-102
,,,,,,,
"M.Tech. in Computing and Mathematics Elective/Other Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
,PME,See Elective Course Page,,,,,
,OE,,,,,,
