Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"M. Tech. Data Science Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
DS3040,Deep Learning ,3-0-3-5,Yes*,Yes,Mrinal Das,G and PM5 (tentative),"A01-102 
A01-Comp Lab 1 (100 seater lab)"
DS5102,Big Data Lab,1-0-3-3,Yes**,No,Nikhil Krishnan,PM3,A01-Comp Lab 1 (100 seater lab)
,,,,,,,
,,,,,,,
"M. Tech. Data Science Elective/Other Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
,PME I,See Elective Course Page,,,,,
,PME II,,,,,,
,PME III,,,,,,
,,,,,,,
*10 students outside Data Science discpline,,,,,,,
** Total cap is 30 (20 MDS students and 10 students from other branches UG/PG/PhD),,,,,,,
