Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"M. Tech- Geotechnical Engineering Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
CE5002,Applied soil mechanics,3-1-0-4,No,,Rakesh J. Pillai,"B,E4",A01-120
CE5006,Foundation Engineering,3-1-0-4,No,,Sudheesh T. K.,"K,E1",A01-120
CE5004,Experimental Geotechnics,0-0-3-2,No,,Ankesh Kumar,PM4,N Civil lab
,,,,,,,
"M.Tech. Geotechnical Engineering Other Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
GN6001,Research Methodology and Professional Ethics,2-0-0-0,,,,EML,
CExxxx,Dept. Elective 1,See Elective Course Page,,,,,
CExxxx,Dept. Elective 2,,,,,,
CExxxx,Dept. Elective 3,,,,,,
