Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"M.Tech. in Manufacturing and Materials Engineering Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
ME5004,Mechanical Behaviour of Materials,3-0-0-3,No,Yes,Kesavan D,A,A01-101
ME5002,Computer Aided Metrology,3-0-0-3,No,Yes,S Kanmani Subbu,B,A01-101
ME5101,Modeling and Simulation Laboratory,1-0-2-3,,Yes,S Kanmani Subbu,M2+PA1,"A01-101
N Comp Lab
CC Lab (48)"
,,,,,,,
"M.Tech. in Manufacturing and Materials Engineering Other Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
GN6001,Research Methodology and Professional Ethics,2-0-0-0,,No,Anand TNC,EML ?,
,PME 1,See Elective Course Page,,,,,
,PME 2,,,,,,
,PME 3,,,,,,
