Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"M.Tech. in System-on-Chip Design Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
CS5102,SoC Design Lab,1-0-3-3,No,,Vivek Chaturvedi,PM4 + M4 ,N Electron. Lab
SD5190,Mini project,0-0-5-3,,,Subrahmanyam Mula (Coordinator),,
,,,,,,,
"M.Tech. in System-on-Chip Design Elective/Other Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
,Professional Elective 1,See Elective Course Page,,,,,
,Professional Elective 2,,,,,,
,Professional Elective 3,,,,,,
,Professional Elective 4,,,,,,
