Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"B. Tech. Civil Engineering Core Courses, Semester VI",,,,,,,
,,,,,,,
Code,Course Name,Credits,UG OE?,Prereq,Faculty,Slot,Room
CE3020,Traffic Engineering,3-0-2-4,Yes,No,B. K. Bhavathrathan,"PA2, PA3",A01-018
CE3040,Basic Structural Steel Design,3-1-0-4,Yes,,Anil  Kumar ,"C, M2",A01-018
CE3060,Estimation & Construction Management,3-1-0-4,No,,Senthilkumar ,"B, M4",A01-018
CE3080,Hydraulic and Environmental Engineering Laboratory,0-0-3-2,No,Yes,"Subhasis Mitra
Praveena Gangadharan",PA4,N Civil Lab
CE3100,Internship,,No,,Gokulnath C,,
,,,,,,,
"B. Tech. Civil Engineering Elective Courses, Semester VI",,,,,,,
,,,,,,,
XXXXX,GCE,See B.Tech. GCE Slot Allocation,,,,,
,PME,See Department PME/ERC Course Page ,,,,,
,PME*,,,,,,
