Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"B. Tech. Electrical Engineering Core Courses, Semester VI",,,,,,,
,,,,,,,
Code,Course Name,Credits,UG OE ?,Prereq,Faculty,Slot,Room
,,,,,,,
EE3020,Digital Signal Processing,3-1-0-4,No,Yes,M. Sabarimalai Manikandan,"C+
M5","A01-Aud
"
EE3040,Power Systems,3-1-0-4,No,Yes,Manas Kumar Jena,"A+
M1",A01-119
EE3060,Control Engineering,3-1-0-4,No,Yes,Shaikshavali Chitraganti,"B+
M3",A01-119
EE3120,Communication Systems and Microwave Laboratory,0-0-3-2,No,Yes,"Jobin Francis
Sukomal Dey ",PA1,N Electron. Lab
EE3140,Measurements and Instrumentation Laboratory,0-0-3-2,No,Yes,Sreenath Vijayakumar,PA5,N Electron. Lab
,,,,,,,
"B. Tech. Electrical Engineering Elective Courses, Semester VI",,,,,,,
,,,,,,,
XXXXX,GCE,See B.Tech. GCE Slot Allocation,,,,,
,PME,See Department PME/ERC Course Page ,,,,,
,PME*,,,,,,
